Zmienna;Jednostka terytorialna;Jednostka;Rok;Kwarta³;Wartoœæ
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;1;3241,88
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;2;3270,87
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;3;3258,95
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;4;3371,07
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;1;3392
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;2;3446,36
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;3;3485,57
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;4;3514,71
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;1;3557,15
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;2;3573,07
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;3;3590,07
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;4;3625,94
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;1;3648,1
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;2;3690,37
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;3;3727,28
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;4;3760,88
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;1;3790,86
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;2;3827,36
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;3;3860,71
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;4;3887,12
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;1;3930,12
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;2;3944,43
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;3;3980,96
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;4;4020,61
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;1;4054,35
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;2;4097,3
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;3;4143,38
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;4;4170,28
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;1;4237,09
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;2;4295,91
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;3;4354,53
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;4;4444,82
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;1;4514,38
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;2;4603,44
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;3;4681,41
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;4;4774,69
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;1;4842,12
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;2;4942,21
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;3;5037,44
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;4;5105,31
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;1;5179,78
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;2;5137,81
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;3;5293,82
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;4;5386,62
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;1;5513,02
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;2;5618,29
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;3;5770,59
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;4;5927,72
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;1;6066,4
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;2;6276,64
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;3;6601,35
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;4;6691,56
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;1;6898,42
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;2;7108,18
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;3;7351,07
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;4;7566,93
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2024;1;7848,93
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2024;2;8107,04
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2024;3;8349,35
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;1;3382,45
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;2;3420,32
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;3;3424,61
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;4;3499,96
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;1;3521,75
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;2;3592,11
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;3;3635,97
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;4;3659,46
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;1;3704,4
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;2;3706,22
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;3;3733,79
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;4;3765,32
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;1;3776,97
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;2;3814,59
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;3;3860,11
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;4;3894,93
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;1;3926,54
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;2;3969,18
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;3;3990,76
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;4;4034,25
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;1;4075,38
