data,ogolem,indywidualne,sprzedaz_lub_wynajem,spoldzielcze,pozostale
2014-01-01,12511,7155,4449,415,492
2014-02-01,12462,6714,5068,358,322
2014-03-01,10589,6530,3687,239,133
2014-04-01,11646,6102,5095,193,256
2014-05-01,8893,5516,3185,46,146
2014-06-01,10317,5802,4117,141,257
2014-07-01,13259,6528,5879,481,371
2014-08-01,9144,5018,3035,273,818
2014-09-01,11321,6052,4732,398,139
2014-10-01,14724,6647,7161,265,651
2014-11-01,13005,5897,6395,308,405
2014-12-01,15295,8168,6262,373,492
2015-01-01,11748,6627,4868,50,203
2015-02-01,9493,6303,2950,31,209
2015-03-01,10462,6768,3364,163,167
2015-04-01,10435,6772,3311,250,102
2015-05-01,10410,5761,4606,1,42
2015-06-01,11418,6311,4797,16,294
2015-07-01,12886,7313,4943,224,406
2015-08-01,11215,5896,4767,340,212
2015-09-01,13264,6047,6759,120,338
2015-10-01,14965,6636,7537,186,606
2015-11-01,13736,6741,6523,214,258
2015-12-01,17679,8583,7995,520,581
2016-01-01,12771,6159,6086,353,173
2016-02-01,12256,6244,5663,246,103
2016-03-01,12396,6508,5570,30,288
2016-04-01,13711,6265,7096,177,173
2016-05-01,10907,5490,5208,149,60
2016-06-01,11700,6324,5146,61,169
2016-07-01,12883,6039,6338,191,315
2016-08-01,12728,5883,6187,365,293
2016-09-01,12665,6225,6037,197,206
2016-10-01,16620,7179,8296,383,762
2016-11-01,16573,7183,8548,276,566
2016-12-01,18115,8563,8985,279,288
2017-01-01,15355,7324,7643,210,178
2017-02-01,11544,6324,4800,273,147
2017-03-01,13688,6968,6516,86,118
2017-04-01,11266,5872,5324,10,60
2017-05-01,13646,6642,6797,169,38
2017-06-01,12880,6286,6425,55,114
2017-07-01,17340,6827,9569,110,834
2017-08-01,14407,6743,6852,445,367
2017-09-01,14217,6331,7417,180,289
2017-10-01,15555,6837,7925,334,459
2017-11-01,17585,7136,9885,127,437
2017-12-01,20775,9389,10664,377,345
2018-01-01,15005,6418,8190,111,286
2018-02-01,14921,5715,8842,238,126
2018-03-01,14708,5908,8516,140,144
2018-04-01,13861,4953,8441,209,258
2018-05-01,11972,4849,6803,196,124
2018-06-01,12319,4812,7236,110,161
2018-07-01,16637,5501,10832,193,111
2018-08-01,16415,5279,10644,228,264
2018-09-01,13914,4731,8250,350,583
2018-10-01,18871,6276,11719,392,484
2018-11-01,16470,5555,9935,378,602
2018-12-01,19970,6223.112317000006,12909,479,358.8876830000081
2019-01-01,17405,6270,10791,81,263
2019-02-01,15021,5445,9125,199,252
2019-03-01,14991,5536,8852,387,216
2019-04-01,17673,5736,11771,36,130
2019-05-01,14974,5379,9221,129,245
2019-06-01,14412,4731,9010,122,549
2019-07-01,16908,5915,10423,237,333
2019-08-01,17334,5419,10940,245,730
2019-09-01,16998,5356,11038,74,530
2019-10-01,20592,6473,13226,383,510
2019-11-01,19042,5751,12817,144,330
2019-12-01,22075,7215,14221,130,509
2020-01-01,18501,6541,11608,248,104
2020-02-01,15507,6239,8934,80,254
2020-03-01,15569,5158,10195,76,140
2020-04-01,14116,3799,10169,50,98
2020-05-01,16343,5017,11017,61,248
2020-06-01,17036,5914,10710,146,266
2020-07-01,23648,7599,15907,44,98
2020-08-01,16183,5926,10062,111,84
2020-09-01,19369,6408,12502,179,280
2020-10-01,20973,7044,13362,109,458
2020-11-01,20560,6474,13640,161,285
2020-12-01,23026,7872,14585,233,336
2021-01-01,17462,6888,10296,162,116
2021-02-01,16322,6879,9191,0,252
2021-03-01,19282,7674,11028,359,221
2021-04-01,19019,7266,11362,122,269
2021-05-01,15772,6815,8678,157,122
2021-06-01,17587,6817,10091,453,226
2021-07-01,18952,7384,11193,55,320
2021-08-01,18583,7062,11247,66,208
2021-09-01,21117,6779,14125,3,210
2021-10-01,22097,7602,13975,346,174
2021-11-01,24463,7589,16455,211,208
2021-12-01,24024,9375,14300,85,264
2022-01-01,16739,7329,9001,268,141
2022-02-01,18387,7707,10332,48,300
2022-03-01,19541,8857,10277,252,155
2022-04-01,18631,7706,10836,74,15
2022-05-01,18109,6655,11266,0,188
2022-06-01,17788,6592,11046,101,49
2022-07-01,17435,6727,10639,0,69
2022-08-01,18677,6656,11792,31,198
2022-09-01,21696,6985,14427,170,114
2022-10-01,22046,7920,13606,92,428
2022-11-01,25913,8560,16793,351,209
2022-12-01,23528,9040,13956,126,406
2023-01-01,19043,7760,11091,21,171
2023-02-01,15875,7179,8251,173,272
2023-03-01,20133,8582,11075,233,243
2023-04-01,20822,10509,10174,50,89
2023-05-01,17721,7088,10368,102,163
2023-06-01,18266,4429,13540,0,297
2023-07-01,14925,4930,9683,154,158
2023-08-01,17781,5279,12111,1,390
2023-09-01,16277,5065,10642,115,455
2023-10-01,20726,6119,14109,61,437
2023-11-01,18388,5958,12060,53,317
2023-12-01,21302,6467,14479,43,313
2024-01-01,14909,6165,8312,36,396
2024-02-01,16102,5862,9920,0,320
2024-03-01,17275,6060,10874,20,321
2024-04-01,15957,5929,9662,63,303
2024-05-01,14921,5241,9285,61,334
2024-06-01,16451,5403,10609,120,319
2024-07-01,18629,6210,11405,540,474
2024-08-01,14586,5462,8447,0,677
2024-09-01,16581,5299,11094,1,187
2024-10-01,17133,6054,10330,196,553
2024-11-01,,,,,
2024-12-01,,,,,
