,rynek,inflacja_r,inflacja_q,stopa_procentowa,liczba_kredytow,tempo_wzrostu,ufnosc,duze_zakupy,bezrobocie,spr_detaliczna,pkb,wynag,inflacja_q_kum,ogolem,rpk
2014-03-31,6193.211455751218,100.6,100.2,0.0446,41942.0,104.2,-20.5,-16.3,13.5,105.5,103.8,3882.041727672035,1.0,11854.0,0.0
2014-06-30,6227.984614357782,100.3,100.0,0.0447,45499.0,104.1,-16.8,-15.0,12.0,105.1,103.9,3922.805136452242,1.002,10285.333333333334,0.0
2014-09-30,6357.260997723212,99.7,99.5,0.0443,43653.0,103.3,-16.9,-12.7,11.5,102.6,104.2,3948.311806569343,1.002,11241.333333333334,0.0
2014-12-31,6438.874573741021,99.3,99.6,0.0388,42993.0,103.3,-13.8,-10.7,11.4,103.7,103.9,3986.0746902654864,0.9969899999999999,14341.333333333334,0.0
2015-03-31,6473.616559493631,98.5,99.5,0.0348,42169.0,104.0,-14.9,-11.5,11.5,104.4,104.3,4028.0868654545457,0.9930020399999998,10567.666666666666,0.0
2015-06-30,6680.353772070129,99.1,100.5,0.035,46504.0,103.1,-11.6,-9.9,10.2,103.5,103.8,4041.831063572637,0.9880370297999997,10754.333333333334,0.0
2015-09-30,6698.927601712806,99.3,99.6,0.0344,43945.0,103.6,-9.6,-7.1,9.7,102.6,104.1,4084.97875,0.9929772149489997,12455.0,0.0
2015-12-31,6660.298368542482,99.4,99.7,0.0349,48707.0,103.4,-7.5,-4.3,9.7,104.4,105.3,4132.6971508914685,0.9890053060892036,15460.0,0.0
2016-03-31,6550.634072420367,99.1,99.3,0.0374,44735.0,103.7,-7.5,-6.7,9.9,104.4,103.3,4166.4429778624135,0.986038290170936,12474.333333333334,0.0
2016-06-30,6841.681771791995,99.1,100.5,0.0376,49118.0,104.4,-6.0,-4.2,8.7,105.7,103.4,4207.750166607586,0.9791360221397395,12106.0,0.0
2016-09-30,6894.325413516621,99.2,99.7,0.0381,42635.0,104.2,-3.9,-1.0,8.3,105.9,102.6,4253.815520564042,0.9840317022504381,12758.666666666666,0.0
2016-12-31,6759.487001133491,100.2,100.7,0.0383,41921.0,102.9,-3.3,1.8,8.2,106.5,102.8,4272.323886620786,0.9810796071436869,17102.666666666668,0.0
2017-03-31,6682.58403419727,102.0,101.1,0.0384,50238.0,104.5,-1.7,4.4,8.0,107.1,105.1,4356.522552504039,0.9879471643936927,13529.0,0.0
2017-06-30,7001.245284079188,101.8,100.3,0.039,49827.0,105.4,2.4,10.2,7.0,106.7,104.5,4424.529410482854,0.9988145832020233,12597.333333333334,0.0
2017-09-30,7045.096808181858,101.9,99.8,0.0387,45824.0,106.0,4.9,12.2,6.8,107.9,105.7,4499.217494610234,1.0018110269516294,15321.333333333334,0.0
