,Liczba mieszkań oddanych do użytkowania,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,I,I-II,I-III,I-IV,I-V,I-VI,I-VII,I-VIII,I-IX,I-X,I-XI,I-XII
1,,1991,,,,,,,,,,,
2,OGÓŁEM,8826,17065,24238,32824,41548,53343,63701,72319,82423,93135,105830,136790
3,indywidualne,2244,4172,6254,8323,10700,15096,17138,19410,22464,26134,30148,39958
4,sprzedaż lub wynajem,-,-,-,-,-,-,-,-,-,-,-,-
5,spółdzielcze,5525,10746,15323,21167,26773,33484,40763,46316,52550,58642,66157,83554
6,pozostałe,1057,2147,2661,3334,4075,4763,5800,6593,7409,8359,9525,13278
7,,1992,,,,,,,,,,,
8,OGÓŁEM,9009,18409,47242,52217,58492,66888,74827,82109,89349,99724,109574,132969
9,indywidualne,2262,4460,6977,8965,11312,15188,16868,18882,21273,24573,27863,36863
10,sprzedaż lub wynajem,-,-,-,-,-,-,-,-,-,-,-,-
11,spółdzielcze,5577,11988,37347,39528,42633,46389,51681,56204,60207,66381,72044,84260
12,pozostałe,1170,1961,2918,3724,4547,5311,6278,7023,7869,8770,9667,11846
13,,1993,,,,,,,,,,,
14,OGÓŁEM,8513,15456,22266,28231,34213,42060,49665,56195,62092,68618,76891,94449
15,indywidualne,1906,3724,5601,7427,9341,12931,14834,17080,19501,22334,25465,33463
16,sprzedaż lub wynajem,3,18,87,108,113,199,229,265,310,342,343,485
17,spółdzielcze,5634,10041,14169,17849,21327,24796,29403,33037,35895,39053,43326,50002
18,pozostałe,970,1673,2409,2847,3432,4134,5199,5813,6386,6889,7757,10499
19,,1994,,,,,,,,,,,
20,OGÓŁEM,6327,12003,16649,21153,25653,31681,36041,41232,45936,51504,57860,76080
21,indywidualne,1895,3847,5782,7533,9498,12810,14639,16721,19176,22023,25373,35516
22,sprzedaż lub wynajem,112,161,161,196,212,303,396,397,540,690,921,1404
23,spółdzielcze,3538,6695,9138,11448,13555,15645,17633,20225,22030,24056,26264,31741
24,pozostałe,782,1300,1568,1976,2388,2923,3373,3889,4190,4735,5302,7419
25,,1995,,,,,,,,,,,
26,OGÓŁEM,4961,8787,13170,16885,20937,26564,30960,35290,39989,46480,52319,67072
27,indywidualne,1671,3395,5420,6987,8906,11883,13569,15643,18062,20944,23735,31675
28,sprzedaż lub wynajem,187,241,454,679,772,1009,1198,1338,1497,2134,2317,2767
29,spółdzielcze,2626,4308,6228,7969,9731,11855,14009,15802,17587,20002,22364,26800
30,pozostałe,477,843,1068,1250,1528,1817,2184,2507,2843,3400,3903,5830
31,,1996,,,,,,,,,,,
32,OGÓŁEM,5342,9169,12402,15607,18936,23298,27763,32181,36999,42932,49294,62130
33,indywidualne,1857,3638,5309,6929,8699,11239,13212,15165,17560,20567,23460,30135
34,sprzedaż lub wynajem,88,296,445,480,578,720,901,1015,1288,1676,1881,2691
35,spółdzielcze,2761,4424,5648,7099,8431,9983,11844,13877,15784,18006,20746,24641
36,pozostałe,636,811,1000,1099,1228,1356,1806,2124,2367,2683,3207,4663
37,,1997,,,,,,,,,,,
38,OGÓŁEM,5256,10904,15715,20926,24736,30081,34857,39426,46112,53058,60105,73706
39,indywidualne,2278,5165,7893,10300,12457,15439,17746,20059,22951,26048,29013,35074
40,sprzedaż lub wynajem,263,638,693,1041,1315,1555,1810,2099,2533,2945,3949,5099
41,spółdzielcze,2283,4353,6200,8406,9695,11527,13553,15406,18241,21016,23217,28131
42,pozostałe,432,748,929,1179,1269,1560,1748,1862,2387,3049,3926,5402
43,,1998,,,,,,,,,,,
44,OGÓŁEM,7380,12611,17977,23071,28324,34213,40176,45654,52120,59490,67114,80594
45,indywidualne,2674,5313,8182,10598,12714,15432,18049,20412,23489,26841,30141,37322
46,sprzedaż lub wynajem,600,1071,1430,1878,2554,3191,3480,4232,4775,5716,7218,8963
47,spółdzielcze,3624,5292,7156,8938,10947,12798,15326,17154,19464,21990,24362,28039
48,pozostałe,482,935,1209,1657,2109,2792,3321,3856,4392,4943,5393,6270
49,,1999,,,,,,,,,,,
50,OGÓŁEM,5198,10531,15567,20491,25686,31868,37953,43967,50138,57861,66101,81979
51,indywidualne,2243,4786,7469,9832,12002,14709,16826,19417,22247,24930,27952,33304
52,sprzedaż lub wynajem,522,1132,1888,2912,3893,4485,5720,6312,6982,9071,10575,14195
53,spółdzielcze,1898,3801,5185,6460,8195,10696,12969,15151,16963,19248,22365,27490
54,pozostałe,535,812,1025,1287,1596,1978,2438,3087,3946,4612,5209,6990
55,,2000,,,,,,,,,,,
56,OGÓŁEM,5796,11995,17972,23332,29287,34278,40741,47888,54770,63212,72298,87789
57,indywidualne,2502,5307,8139,10469,12699,15060,17664,20550,23205,26814,29963,35542
58,sprzedaż lub wynajem,1179,2203,2972,4028,5826,6913,8667,10423,11819,13882,16269,20728
59,spółdzielcze,1659,3545,5352,7153,8670,9937,11717,13569,16023,17767,20175,24391
60,pozostałe,456,940,1509,1682,2092,2368,2693,3346,3723,4749,5891,7128
61,,2001,,,,,,,,,,,
62,OGÓŁEM,9496,17311,25755,33850,40914,47616,56464,64426,71863,80931,91240,105967
63,indywidualne,3373,6380,9793,12548,15556,18505,21537,24693,27757,31959,35652,40642
64,sprzedaż lub wynajem,2781,4257,6878,9357,10626,12254,14980,16769,18870,20804,23748,29403
65,spółdzielcze,2605,5144,7264,9543,11548,12954,14881,17244,18701,20560,23053,25835
66,pozostałe,737,1530,1820,2402,3184,3903,5066,5720,6535,7608,8787,10087
67,,2002,,,,,,,,,,,
68,OGÓŁEM,8355,15856,21863,29572,35585,42794,48769,55673,62551,73574,82847,97595
69,indywidualne,3588,6669,10209,13682,16938,20322,23974,27459,31703,37024,42194,52433
70,sprzedaż lub wynajem,2021,3853,4829,7042,8180,10015,11141,13009,14378,17619,19496,21970
71,spółdzielcze,1644,3528,4796,6334,7342,8615,9412,10661,11383,13203,14484,15406
72,pozostałe,1102,1806,2029,2514,3125,3842,4242,4544,5087,5728,6673,7786
73,,2003,,,,,,,,,,,
74,OGÓŁEM,9607,19161,27653,37226,47750,66335,109827,116285,124459,134007,143221,162686
75,indywidualne,5864,11459,17867,24362,31866,46568,84504,88709,92956,98439,104113,118034
76,sprzedaż lub wynajem,2012,4451,5253,7112,8585,10799,13905,14766,16932,18802,20466,23844
77,spółdzielcze,1042,1930,2640,3303,4512,5453,6803,7350,8154,9478,10587,11957
78,pozostałe,689,1321,1893,2449,2787,3515,4615,5460,6417,7288,8055,8851
79,,2004,,,,,,,,,,,
80,OGÓŁEM,11187,18744,28236,36573,43627,50229,57703,64894,72032,81566,91178,108117
81,indywidualne,7347,11900,16932,22448,27208,30979,35360,39570,43842,48788,54337,64858
82,sprzedaż lub wynajem,2229,3937,6638,8041,9453,11149,13125,14510,16244,19044,21302,24230
